,rep,EncounterID,TrueEnc,Pelagic,NWHI,MHI,CorrectDW
test_nwhi47,48,N1,17,Ambiguous,Ambiguous,Ambiguous,40
test_mhi47,48,M2,31,Ambiguous,MHI,MHI,91
test_pel48,49,P6,1,Pelagic,Ambiguous,Ambiguous,76
test_nwhi48,49,N2,14,Ambiguous,Ambiguous,Ambiguous,58
test_mhi48,49,M1,34,Ambiguous,Ambiguous,Ambiguous,47
test_pel49,50,P3,6,Pelagic,Ambiguous,Ambiguous,82
test_nwhi49,50,N2,14,Ambiguous,Ambiguous,Ambiguous,50
test_mhi49,50,M3,32,Ambiguous,Ambiguous,Ambiguous,74
test_pel50,51,P5,5,Ambiguous,Ambiguous,Ambiguous,57
test_nwhi50,51,N1,17,Ambiguous,Ambiguous,Ambiguous,38
test_mhi50,51,M3,32,Ambiguous,Ambiguous,MHI,87
test_pel51,52,P6,1,Ambiguous,Ambiguous,Ambiguous,57
test_nwhi51,52,N2,14,Ambiguous,NWHI,Ambiguous,82
test_mhi51,52,M2,31,Ambiguous,Ambiguous,Ambiguous,65
test_pel52,53,P1,2,Ambiguous,Ambiguous,Ambiguous,45
test_nwhi52,53,N1,17,Ambiguous,Ambiguous,Ambiguous,31
test_mhi52,53,M3,32,Ambiguous,MHI,MHI,82
test_pel53,54,P6,1,Ambiguous,Ambiguous,Ambiguous,55
test_nwhi53,54,N4,16,Ambiguous,Ambiguous,Ambiguous,63
test_mhi53,54,M1,34,Ambiguous,Ambiguous,Ambiguous,43
test_pel54,55,P5,5,Ambiguous,Ambiguous,Ambiguous,59
test_nwhi54,55,N3,15,Ambiguous,Ambiguous,Ambiguous,66
test_mhi54,55,M2,31,Ambiguous,Ambiguous,MHI,80
test_pel55,56,P5,5,Ambiguous,Ambiguous,Ambiguous,67
test_nwhi55,56,N3,15,Ambiguous,Ambiguous,Ambiguous,63
test_mhi55,56,M4,33,Ambiguous,Ambiguous,MHI,99
test_pel56,57,P6,1,Ambiguous,Ambiguous,Ambiguous,51
test_nwhi56,57,N1,17,Ambiguous,Ambiguous,Ambiguous,38
test_mhi56,57,M3,32,Ambiguous,MHI,MHI,77
test_pel57,58,P6,1,Ambiguous,Ambiguous,Ambiguous,56
test_nwhi57,58,N3,15,Ambiguous,Ambiguous,Ambiguous,72
test_mhi57,58,M1,34,Ambiguous,Ambiguous,Ambiguous,48
test_pel58,59,P2,3,Ambiguous,Ambiguous,Ambiguous,59
test_nwhi58,59,N1,17,Ambiguous,Ambiguous,Ambiguous,38
test_mhi58,59,M3,32,Ambiguous,Ambiguous,MHI,78
test_pel59,60,P7,8,Ambiguous,Ambiguous,Ambiguous,38
test_nwhi59,60,N2,14,Ambiguous,Ambiguous,Ambiguous,36
test_mhi59,60,M4,33,MHI,Ambiguous,MHI,104
test_pel60,61,P4,4,Ambiguous,Ambiguous,Ambiguous,54
test_nwhi60,61,N3,15,Ambiguous,Ambiguous,Ambiguous,62
test_mhi60,61,M3,32,Ambiguous,Ambiguous,Ambiguous,73
test_pel61,62,P7,8,Ambiguous,Ambiguous,Ambiguous,41
test_nwhi61,62,N3,15,Ambiguous,Ambiguous,Ambiguous,54
test_mhi61,62,M4,33,MHI,Ambiguous,MHI,97
test_pel62,63,P6,1,Ambiguous,Ambiguous,Ambiguous,54
test_nwhi62,63,N2,14,Ambiguous,Ambiguous,Ambiguous,51
test_mhi62,63,M2,31,Ambiguous,Ambiguous,MHI,77
test_pel63,64,P8,7,Ambiguous,Ambiguous,Ambiguous,65
test_nwhi63,64,N4,16,Ambiguous,Ambiguous,Ambiguous,49
test_mhi63,64,M4,33,Ambiguous,Ambiguous,MHI,103
test_pel64,65,P8,7,Ambiguous,Ambiguous,Ambiguous,53
test_nwhi64,65,N3,15,Ambiguous,Ambiguous,Ambiguous,47
test_mhi64,65,M2,31,Ambiguous,Ambiguous,MHI,83
test_pel65,66,P6,1,Ambiguous,Ambiguous,Ambiguous,61
test_nwhi65,66,N2,14,Ambiguous,Ambiguous,Ambiguous,39
test_mhi65,66,M2,31,Ambiguous,Ambiguous,MHI,80
test_pel66,67,P3,6,Ambiguous,Ambiguous,Ambiguous,36
test_nwhi66,67,N4,16,Ambiguous,Ambiguous,Ambiguous,52
test_mhi66,67,M1,34,Ambiguous,Ambiguous,Ambiguous,46
test_pel67,68,P1,2,Ambiguous,Ambiguous,Ambiguous,68
test_nwhi67,68,N4,16,Ambiguous,Ambiguous,Ambiguous,52
test_mhi67,68,M4,33,Ambiguous,Ambiguous,MHI,100
test_pel68,69,P6,1,Ambiguous,Ambiguous,Ambiguous,52
test_nwhi68,69,N3,15,Ambiguous,Ambiguous,Ambiguous,67
test_mhi68,69,M4,33,Ambiguous,Ambiguous,MHI,82
test_pel69,70,P3,6,Ambiguous,Ambiguous,Ambiguous,56
test_nwhi69,70,N4,16,Ambiguous,Ambiguous,Ambiguous,59
test_mhi69,70,M2,31,Ambiguous,Ambiguous,Ambiguous,73
test_pel70,71,P5,5,Ambiguous,Ambiguous,Ambiguous,60
test_nwhi70,71,N4,16,Ambiguous,Ambiguous,Ambiguous,60
test_mhi70,71,M1,34,Ambiguous,Ambiguous,Ambiguous,48
test_pel71,72,P8,7,Ambiguous,Ambiguous,Ambiguous,71
test_nwhi71,72,N1,17,Ambiguous,Ambiguous,Ambiguous,40
test_mhi71,72,M1,34,Ambiguous,Ambiguous,Ambiguous,57
test_pel72,73,P8,7,Ambiguous,Ambiguous,Ambiguous,66
test_nwhi72,73,N3,15,Ambiguous,Ambiguous,Ambiguous,63
test_mhi72,73,M1,34,Ambiguous,Ambiguous,Ambiguous,50
test_pel73,74,P2,3,Ambiguous,Ambiguous,Ambiguous,30
test_nwhi73,74,N3,15,NWHI,Ambiguous,Ambiguous,64
test_mhi73,74,M2,31,Ambiguous,Ambiguous,MHI,76
test_pel74,75,P2,3,Ambiguous,Ambiguous,Ambiguous,69
test_nwhi74,75,N2,14,Ambiguous,Ambiguous,Ambiguous,47
test_mhi74,75,M3,32,Ambiguous,Ambiguous,MHI,78
test_pel75,76,P2,3,Ambiguous,Ambiguous,Ambiguous,73
test_nwhi75,76,N2,14,Ambiguous,Ambiguous,Ambiguous,48
test_mhi75,76,M1,34,Ambiguous,Ambiguous,Ambiguous,46
test_pel76,77,P6,1,Ambiguous,Ambiguous,Ambiguous,43
test_nwhi76,77,N1,17,Ambiguous,Ambiguous,Ambiguous,38
test_mhi76,77,M2,31,Ambiguous,MHI,MHI,89
test_pel77,78,P7,8,Ambiguous,Ambiguous,Ambiguous,52
test_nwhi77,78,N2,14,Ambiguous,Ambiguous,Ambiguous,47
test_mhi77,78,M2,31,Ambiguous,Ambiguous,MHI,78
test_pel78,79,P5,5,Ambiguous,Ambiguous,Ambiguous,54
test_nwhi78,79,N3,15,Ambiguous,Ambiguous,Ambiguous,68
test_mhi78,79,M2,31,Ambiguous,Ambiguous,MHI,78
test_pel79,80,P2,3,Ambiguous,Ambiguous,Ambiguous,31
test_nwhi79,80,N3,15,Ambiguous,Ambiguous,Ambiguous,74
test_mhi79,80,M4,33,Ambiguous,Ambiguous,MHI,94
test_pel80,81,P8,7,Ambiguous,Ambiguous,Ambiguous,62
test_nwhi80,81,N3,15,Ambiguous,Ambiguous,Ambiguous,58
test_mhi80,81,M1,34,Ambiguous,Ambiguous,Ambiguous,45
test_pel81,82,P6,1,Ambiguous,Ambiguous,Ambiguous,47
test_nwhi81,82,N1,17,Ambiguous,Ambiguous,Ambiguous,35
test_mhi81,82,M4,33,Ambiguous,MHI,MHI,106
test_pel82,83,P6,1,Ambiguous,Ambiguous,Ambiguous,59
test_nwhi82,83,N4,16,Ambiguous,Ambiguous,Ambiguous,57
test_mhi82,83,M3,32,Ambiguous,Ambiguous,MHI,87
test_pel83,84,P2,3,Ambiguous,Ambiguous,Ambiguous,38
test_nwhi83,84,N4,16,Ambiguous,NWHI,Ambiguous,76
test_mhi83,84,M4,33,Ambiguous,Ambiguous,MHI,92
test_pel84,85,P2,3,Pelagic,Ambiguous,Ambiguous,84
test_nwhi84,85,N3,15,Ambiguous,Ambiguous,Ambiguous,52
test_mhi84,85,M2,31,Ambiguous,Ambiguous,Ambiguous,67
test_pel85,86,P7,8,Ambiguous,Ambiguous,Ambiguous,45
test_nwhi85,86,N3,15,Ambiguous,Ambiguous,Ambiguous,65
test_mhi85,86,M4,33,MHI,Ambiguous,MHI,95
test_pel86,87,P5,5,Ambiguous,Ambiguous,Ambiguous,48
test_nwhi86,87,N1,17,Ambiguous,Ambiguous,Ambiguous,42
test_mhi86,87,M1,34,Ambiguous,Ambiguous,Ambiguous,56
test_pel87,88,P1,2,Ambiguous,Ambiguous,Ambiguous,59
test_nwhi87,88,N2,14,Ambiguous,Ambiguous,Ambiguous,62
test_mhi87,88,M3,32,Ambiguous,Ambiguous,MHI,77
test_pel88,89,P3,6,Ambiguous,Ambiguous,Ambiguous,50
test_nwhi88,89,N1,17,Ambiguous,Ambiguous,Ambiguous,45
test_mhi88,89,M1,34,Ambiguous,Ambiguous,Ambiguous,53
test_pel89,90,P2,3,Pelagic,Ambiguous,Ambiguous,76
test_nwhi89,90,N3,15,Ambiguous,Ambiguous,Ambiguous,62
test_mhi89,90,M1,34,Ambiguous,Ambiguous,Ambiguous,51
test_pel90,91,P6,1,Ambiguous,Ambiguous,Ambiguous,57
test_nwhi90,91,N4,16,Ambiguous,Ambiguous,Ambiguous,66
test_mhi90,91,M1,34,Ambiguous,Ambiguous,Ambiguous,49
test_pel91,92,P6,1,Ambiguous,Ambiguous,Ambiguous,69
test_nwhi91,92,N4,16,Ambiguous,Ambiguous,Ambiguous,44
test_mhi91,92,M4,33,Ambiguous,Ambiguous,MHI,106
test_pel92,93,P6,1,Pelagic,Ambiguous,Ambiguous,76
test_nwhi92,93,N4,16,Ambiguous,Ambiguous,Ambiguous,56
test_mhi92,93,M1,34,Ambiguous,Ambiguous,Ambiguous,48
test_pel93,94,P3,6,Ambiguous,Ambiguous,Ambiguous,40
test_nwhi93,94,N1,17,Ambiguous,Ambiguous,Ambiguous,47
