"M1","M2","M3","M4","MeanDecreaseAccuracy","MeanDecreaseGini"
"FREQSWEEPDWNPERCENT3",0.00800536518421042,0.0171809094720094,-0.00170288813137608,0.0150328654727972,0.00943125324943843,28.04762546234
"FREQQUARTER33",0.00607068677354861,0.00358683040490037,0.00462259857207855,0.0201601152334087,0.00853500628885498,28.4687102673581
"FREQCOFM3",0.063970618246468,0.00229371858138899,-0.0023340935910925,0.0360115954207199,0.0245996703026826,30.8749602647443
"DURATION3",0.0558937963288064,0.0139260132625848,0.0107642868207865,0.00512224216299987,0.0212143218660667,32.6333879779343
"REP4",5,5,5,5,5,5
"FREQSTEPDOWN4",1.35963779249208e-05,0,0,0,3.91895599012423e-06,0.060949370975202
"FREQSTEPUP4",-0.000128113756133673,0,0,0,-3.23371544120492e-05,0.0919093896768482
"FREQNUMSTEPS4",-9.77267837642665e-05,1.62493297151492e-05,-1.21131366967476e-05,0,-2.30097976911625e-05,0.150223144994915
"NUMSWEEPSDWNUP4",-0.000446477581872125,0.000312632977155758,0.000564708262402812,9.52375691022746e-05,0.000127980436080996,1.83099695131421
"FREQENDDWN4",0.000649146421644268,0.00106929638967792,7.68573994030439e-05,0.00166109696082537,0.000860522403392009,2.53486384260916
"FREQBEGUP4",0.00122179970113705,0.00120078003935519,0.000570385645820027,8.75478103394575e-05,0.00073839528625411,3.82000601340774
"FREQBEGDWN4",2.40778026424158e-05,0.00501125148939546,-0.000350565355227002,-0.00160843369976573,0.000746305180301448,3.96056835155074
"FREQENDUP4",0.00299210811819731,-0.00063562652245556,0.00131066138235028,0.00164907564746453,0.00131422399212348,4.45755145617119
"NUMSWEEPSUPDWN4",0.00120992456689044,0.00434982143480028,0.00108042778736628,0.000516893391452842,0.00178893359805861,5.01216625373548
"INFLSTDDEVDELTA4",0.00211188784931806,0.00281039889864295,0.000940097861735656,0.00130530003276147,0.00178309120874154,7.82514355813433
"NUMINFLECTIONS4",0.000575584446784635,0.00378671529693551,-0.000205135848909913,0.0014887770127292,0.00133729549982168,8.14178460800844
"INFLMAXMINDELTA4",0.00274320283959297,0.00457768935730116,-0.000984492842803007,0.00215208708807014,0.00205163007746094,9.76429130259202
"INFLMEANDELTA4",0.00463041352215592,0.00313907477204248,0.00172158511400694,0.000383724091797784,0.00246425707612216,16.2760755193489
"FREQSLOPERATIO4",0.0013725674146127,0.000325260873311004,0.00431202995173374,0.00521412999834687,0.00281327283626506,18.6441718949075
"NUMSWEEPSFLATDWN4",0.0120090764791568,0.0133625896764521,0.00214601018961314,0.0198315499335234,0.0118291433282302,20.1048854521531
"FREQNEGSLOPEMEAN4",0.0119062079348006,0.00306312222288461,0.00197886257278877,0.00649784687042801,0.00570855096985115,20.1934130698925
"NUMSWEEPSFLATUP4",0.0157406051283478,0.00783515950198299,0.00908101210226092,0.00997772042652649,0.0104289775269611,21.2059174635958
"FREQPOSSLOPEMEAN4",0.0179505132801977,-0.000359630912896137,0.00457023856366809,0.00183676566890939,0.0059357087192877,23.4274243325463
"FREQSPREAD4",0.0185230415835743,-0.00112587488482666,0.004211793517229,0.0303243959123958,0.0126200863513983,24.3837275445698
"FREQSWEEPFLATPERCENT4",0.0189826331514858,0.00506244527754865,0.00256756766230004,0.0142477630301448,0.0100396851276344,26.9728309248197
"FREQSWEEPDWNPERCENT4",0.00778898394267341,0.0170046224231283,0.000942209586602405,0.0171782932365986,0.0105868883068561,28.1278237099462
"DURATION4",0.0380167130736973,0.00944045930464766,0.00391406813148654,0.00213788091631338,0.013224538699006,29.509195536499
"FREQQUARTER34",0.00584134688011063,0.00815862348830175,0.00562633907438097,0.0263412434891538,0.0113164855381948,29.6993938240742
"FREQCOFM4",0.0624302209335719,0.00185537474659574,0.00146752691637401,0.0348794070750462,0.0248547549189303,30.5239849071237
"REP5",6,6,6,6,6,6
"FREQSTEPUP5",0,0,0,0,0,0
"FREQSTEPDOWN5",0,0,0,0,0,0.0365835857519956
"FREQNUMSTEPS5",0,0,0,0,0,0.051475249724289
"NUMSWEEPSDWNUP5",-0.000349963520096557,-0.000393825965026254,0.000210062035395899,-3.82349082579167e-05,-0.000141931841615223,1.69730465956969
"FREQENDDWN5",0.00105107294743173,0.00110226464943896,-0.00126474918079542,0.00164825410525356,0.000633519024603222,2.4927672211303
"FREQBEGDWN5",-1.57139589877206e-05,-0.000507985285813569,-0.00101895787374002,0.000621662631402354,-0.000248409043686814,3.58163877438226
"FREQBEGUP5",0.000849471453172809,0.00181341272266456,0.000332175931694688,-0.00165212825269127,0.000285838197510276,3.90878833308037
"FREQENDUP5",0.00402517402776555,0.00174144261341078,0.0014894246821386,0.00351158064565926,0.00269148847766214,4.45724241143877
