"P1","P2","P3","P4","P5","P6","P7","P8","MeanDecreaseAccuracy","MeanDecreaseGini"
"INFLMEANDELTA",0.000356202072176974,0.00892841458309535,0.000928137340948324,-0.00359234865961115,0.00307827601928676,0.00402365231834855,0.00191294959930268,0.00351317886433475,0.00234314694419157,29.7452744046256
"NUMSWEEPSFLATDWN",-0.000197085992300987,0.00858691651205566,0.00183546390714799,0.00138780693473496,0.00292363781679969,0.00931302379117083,0.00135550991325201,0.0006295078354877,0.00318238895849998,33.1128761004306
"FREQSLOPERATIO",-0.00273697216979582,0.00447181235136072,0.000494686100726115,0.00310540994587689,0.0022680518742521,0.00666445261573694,0.00286528711918735,0.00264631058282714,0.00249457238474933,35.1101334970243
"NUMSWEEPSFLATUP",0.00113474414712808,0.00760315088426124,0.00707641587196688,0.00121206826065587,0.00334696248913769,0.0141603394153985,0.016597638405494,0.0222712345550961,0.0091099352500655,39.9230895023368
"FREQNEGSLOPEMEAN",-0.00160578647103729,0.0113752231350198,0.0238908488228023,0.00319477839504838,0.0120658824018668,0.0136038700316082,0.0102747288249784,0.0339830035851449,0.0132110293893141,45.3065825988784
"FREQSPREAD",0.00777831415253412,0.0129224056638128,0.0104608258278303,0.00255118121261391,-8.11326904608679e-05,0.0026368115346096,0.0133923740440587,0.012600251360467,0.00768287083039006,45.9162446411443
"FREQCOFM",0.00144208095486867,0.0141581408222739,0.00813357054459402,0.00265133594806753,0.000826235350860198,0.00739946369721971,0.0124580008325028,0.0152050384785861,0.00772824988601739,47.9284497301017
"FREQSLOPEMEAN",0.0036871899478121,0.0153589904503031,0.00533031791799027,0.000213839179445513,0.00601272905298651,0.00466455943867342,0.00896675660365326,0.00932707980955449,0.00660986074300188,53.0248512371093
"FREQSWEEPDWNPERCENT",-0.000966220668606163,0.00719823993585256,0.0133026681219102,0.00311057839614981,0.00588300839854541,0.00759811359672407,0.0128361070621431,0.011993529508933,0.00753001986843323,53.8488227376297
"FREQABSSLOPEMEAN",0.0106955741037612,0.0202175036865358,0.00164575208094262,0.00649014125759364,0.0042361691190564,0.00494285066246956,0.00686618712744818,0.0201729875872692,0.00931032303644813,54.5462718015664
"DURATION",0.00292294530962358,0.0119637134421656,0.00711685158173023,0.00221107776408219,-0.000610977144349712,0.000913451801122824,0.00678944873329313,-0.000363921924297242,0.00379955329938152,54.7586437356227
"FREQSWEEPFLATPERCENT",0.00642934461231545,0.00968401739007744,0.0188527436282577,0.00468859243598656,0.00986846334050665,0.00910738773022045,0.0229197339427541,0.0116444542756689,0.011490848388914,58.1626298629091
"FREQPOSSLOPEMEAN",0.0104798272838361,0.0181652191765287,0.0505228244934904,0.0115233012740317,0.00809650607549775,0.0231071963626668,0.0259458468098171,0.0448093762276596,0.0238102504872955,61.4408959083976
"FREQQUARTER3",0.00454960900002759,0.0519360441552647,0.034160055230432,0.0198984734015304,0.00422206485340973,0.0471060799254496,0.00611471808855958,0.0378041673142568,0.0255319745047708,76.9824948845855
"REP1",2,2,2,2,2,2,2,2,2,2
"FREQSTEPDOWN1",-2.77500277500278e-05,-2.08125208125208e-05,-2.37857380714524e-05,-2.85428856857428e-05,0,0,-6.59171695112499e-05,0,-2.06578791407234e-05,0.288314527974785
"FREQNUMSTEPS1",-3.66155331312126e-05,-4.77762314204208e-06,7.44491385637313e-05,1.31898337728076e-05,4.70183194435686e-05,2.62894999737105e-05,-0.000130011459285732,-0.000171601962831528,-2.12267080567357e-05,0.734298433992812
"NUMSWEEPSDWNUP1",0.000186594192691714,0.000558306651728081,8.6508264236279e-05,0.000188490341480187,0.000152783063513351,0.000371404203749112,-5.31236602455541e-05,-0.000191495526424111,0.000153859715958536,2.3449938468633
"FREQENDDWN1",0.00169141924099287,0.000583676058438777,-0.000724593202955492,0.000135490260297301,0.000850997075376607,0.000848837767811955,0.0013917218883454,0.00127803900490105,0.000735693209895515,7.41248122804922
