"Pelagic","NWHI","MHI","MeanDecreaseAccuracy","MeanDecreaseGini"
"FREQQUARTER32",15.8460943487578,27.4271740592279,32.9803929020547,43.6592586485443,85.0892152792606
"REP3",4,4,4,4,4
"FREQSTEPDOWN3",0,-0.750967950624619,0,-0.716367747926357,0.109536912796363
"FREQNUMSTEPS3",5.10405746014608,0.344845947069314,-2.42917666894502,3.47217703029863,0.414424333232285
"NUMSWEEPSDWNUP3",4.14402854583484,-2.26070699570063,3.40306939128365,3.35229864220336,3.00120171140908
"FREQENDDWN3",8.36860459686908,1.63087969632781,15.6327298931408,15.6898430337352,7.19649392155257
"FREQBEGUP3",-0.178299545712338,11.9444211395995,11.7556134390374,14.0654355624344,7.59087598977385
"FREQENDUP3",3.5010147834715,8.34082572704578,2.98840277149852,8.73888234999621,7.65688509162329
"NUMSWEEPSUPDWN3",6.61208389356675,2.14325396668082,6.14934028199257,9.08258775981722,7.82255223320759
"FREQBEGDWN3",2.69404074689134,16.3166342687782,5.0319191661607,14.8471012173415,8.26283628171439
"NUMINFLECTIONS3",3.21340876802389,26.6630967922483,8.95118818608104,26.5562895990587,15.9230326800765
"INFLSTDDEVDELTA3",6.84796595873118,20.5541345209852,0.132299870830575,17.7294744602757,16.4598512886032
"INFLMAXMINDELTA3",2.96417128343955,26.8866768763517,3.09920010544304,22.5966082777869,20.3913550374257
"NUMSWEEPSFLATDWN3",10.01792415992,28.0995772036319,12.2556485577317,31.6503880139186,36.5567819901328
"INFLMEANDELTA3",-0.560806458063822,33.5461107756563,12.7761616188672,31.4914655846778,36.5775022836655
"FREQSLOPERATIO3",-2.59061273007164,19.8907336160042,8.52024237917583,17.2522158610177,37.99802739255
"NUMSWEEPSFLATUP3",8.76893305219995,41.4755807027336,27.157114781529,46.7763463673546,43.4288501493152
"FREQSPREAD3",9.67495776000871,23.4222916205662,23.2662044089548,36.7483037470176,48.3981952089757
"FREQSLOPEMEAN3",-6.90120781496031,27.0548529170968,33.786646441127,38.2193185428593,55.6699284181768
"FREQCOFM3",20.6106520705466,16.755924070596,32.5319059463115,46.315189103906,55.8390444100858
"FREQSWEEPDWNPERCENT3",1.55809034775524,25.1473682932405,35.4896181556393,43.293347622343,56.9153237600107
"FREQABSSLOPEMEAN3",-3.31813737927003,17.9179692976537,37.3072241441532,39.4238321556433,59.0564061107177
"FREQNEGSLOPEMEAN3",18.5824516530243,48.7554323025531,51.6410123508944,66.66369848561,63.5941097331154
"DURATION3",12.0318313168978,25.9545216403564,26.2238499330989,38.5220955010474,64.2415501266234
"FREQSWEEPFLATPERCENT3",12.3455350469214,31.6393257533948,53.8866919642989,62.6632794491387,69.0732875329787
"FREQPOSSLOPEMEAN3",19.0467685982489,49.6090811876404,74.6987781032141,77.3226146280709,77.0642487660875
"FREQQUARTER33",69.4039858772563,56.7279964598461,62.2334534913232,100.804581462783,97.1209986953362
"REP4",5,5,5,5,5
"FREQSTEPDOWN4",-3.50888372138707,-0.240281986076777,-0.631112315281329,-2.88911793958087,0.338686753244799
