"Pelagic","NWHI","MHI"
"P7",17,5,15
"P1",10,19,8
"P8",26,3,8
"N2",4,23,10
"N3",5,26,6
"N4",11,15,11
"N1",8,14,15
"M2",12,2,23
"M3",11,8,18
"M4",7,3,27
"M1",7,14,16
"accuracy",0,0,0
"rep",58,58,58
"P5",20,9,8
"P2",20,8,9
"P8",25,5,7
"P3",22,4,11
"N2",5,19,13
"N3",6,25,6
"N4",8,14,15
"N1",8,12,17
"M2",8,6,23
"M3",9,2,26
"M4",5,4,28
"M1",5,11,21
"accuracy",0,0,0
"rep",59,59,59
"P8",26,3,8
"P6",21,10,6
"P7",10,12,15
"P2",14,15,8
"N2",5,28,4
"N3",3,29,5
"N4",8,14,15
"N1",10,13,14
"M2",11,3,23
"M3",12,4,21
"M4",11,2,24
"M1",7,13,17
"accuracy",0,0,0
"rep",60,60,60
"P8",23,5,9
"P4",13,11,13
"P1",14,8,15
"P6",19,11,7
"N2",10,21,6
"N3",7,21,9
"N4",10,15,12
"N1",6,15,16
"M2",8,6,23
"M3",7,8,22
"M4",3,2,32
"M1",6,14,17
"accuracy",0,0,0
"rep",61,61,61
"P3",21,12,4
"P2",22,6,9
"P5",20,10,7
"P1",18,9,10
"N2",8,17,12
"N3",5,20,12
"N4",13,10,14
"N1",7,18,12
"M2",6,8,23
"M3",7,5,25
"M4",7,4,26
"M1",5,7,25
"accuracy",0,0,0
"rep",62,62,62
"P6",22,8,7
"P4",22,4,11
"P7",18,5,14
"P2",21,7,9
"N2",3,21,13
"N3",7,27,3
"N4",10,14,13
"N1",9,9,19
"M2",11,6,20
"M3",10,6,21
"M4",5,2,30
"M1",8,16,13
"accuracy",0,0,0
"rep",63,63,63
"P5",15,15,7
"P3",23,5,9
"P7",21,4,12
"P1",18,11,8
"N2",5,24,8
"N3",9,17,11
"N4",12,16,9
"N1",13,12,12
"M2",10,5,22
"M3",11,5,21
"M4",12,2,23
"M1",10,7,20
"accuracy",0,0,0
"rep",64,64,64
"P2",25,6,6
"P5",19,12,6
"P8",25,3,9
"P1",21,6,10
"N2",10,18,9
"N3",11,19,7
"N4",14,12,11
"N1",9,16,12
"M2",7,9,21
"M3",9,3,25
"M4",5,5,27
"M1",7,11,19
"accuracy",0,0,0
"rep",65,65,65
"P8",21,6,10
"P1",15,12,10
"P7",11,7,19
"P3",26,6,5
"N2",5,21,11
"N3",5,23,9
"N4",10,19,8
"N1",4,14,19
"M2",7,6,24
"M3",9,7,21
"M4",5,5,27
"M1",5,12,20
"accuracy",0,0,0
"rep",66,66,66
"P6",25,5,7
"P5",15,11,11
"P3",19,9,9
"P4",12,13,12
"N2",9,18,10
"N3",6,26,5
"N4",7,16,14
"N1",4,12,21
"M2",5,8,24
"M3",3,10,24
"M4",6,1,30
"M1",7,10,20
"accuracy",0,0,0
"rep",67,67,67
"P7",14,6,17
"P5",16,12,9
"P1",18,10,9
"P2",23,8,6
"N2",8,22,7
"N3",5,21,11
"N4",9,18,10
"N1",7,15,15
"M2",10,7,20
"M3",8,7,22
"M4",6,1,30
"M1",6,13,18
"accuracy",0,0,0
"rep",68,68,68
"P3",31,5,1
"P2",21,10,6
"P7",16,4,17
"P6",17,13,7
"N2",5,21,11
"N3",4,22,11
"N4",12,14,11
"N1",9,11,17
"M2",4,2,31
"M3",4,9,24
"M4",4,2,31
"M1",8,8,21
"accuracy",0,0,0
"rep",69,69,69
"P6",17,10,10
"P4",8,16,13
"P3",22,5,10
"P7",14,5,18
"N2",7,22,8
"N3",10,21,6
"N4",8,18,11
"N1",5,15,17
"M2",6,6,25
"M3",9,3,25
"M4",4,4,29
"M1",8,7,22
"accuracy",0,0,0
"rep",70,70,70
"P5",14,17,6
"P8",25,3,9
"P7",10,7,20
"P4",12,14,11
"N2",4,21,12
"N3",2,29,6
"N4",11,17,9
"N1",6,10,21
"M2",8,5,24
"M3",14,8,15
"M4",10,4,23
"M1",6,14,17
"accuracy",0,0,0
"rep",71,71,71
"P3",26,4,7
"P2",20,7,10
"P8",19,8,10
"P5",18,11,8
"N2",8,21,8
"N3",8,17,12
"N4",13,12,12
"N1",6,9,22
"M2",9,2,26
"M3",9,6,22
"M4",5,1,31
"M1",4,14,19
"accuracy",0,0,0
"rep",72,72,72
"P8",26,2,9
"P2",15,16,6
"P3",23,7,7
"P5",14,16,7
"N2",6,20,11
"N3",4,26,7
"N4",7,19,11
"N1",8,16,13
"M2",7,3,27
"M3",8,8,21
"M4",6,7,24
"M1",4,8,25
"accuracy",0,0,0
"rep",73,73,73
"P5",13,16,8
"P3",23,12,2
"P1",16,9,12
"P7",22,3,12
"N2",9,23,5
"N3",12,17,8
"N4",9,13,15
"N1",11,11,15
"M2",9,9,19
"M3",15,4,18
"M4",6,4,27
"M1",11,8,18
"accuracy",0,0,0
"rep",74,74,74
"P6",22,10,5
"P5",10,17,10
"P3",20,8,9
"P8",23,0,14
"N2",7,22,8
"N3",4,29,4
"N4",9,20,8
"N1",2,15,20
"M2",5,8,24
"M3",8,4,25
"M4",6,5,26
"M1",3,11,23
"accuracy",0,0,0
"rep",75,75,75
"P8",23,5,9
"P3",24,6,7
"P4",14,10,13
"P2",15,12,10
"N2",8,18,11
"N3",5,26,6
"N4",15,12,10
"N1",6,16,15
"M2",7,10,20
"M3",10,10,17
"M4",5,3,29
"M1",4,12,21
"accuracy",0,0,0
"rep",76,76,76
"P4",16,5,16
"P2",16,12,9
"P1",13,12,12
"P8",29,1,7
"N2",7,20,10
"N3",5,25,7
"N4",9,16,12
"N1",8,13,16
"M2",5,3,29
"M3",9,6,22
"M4",8,4,25
"M1",7,17,13
"accuracy",0,0,0
"rep",77,77,77
"P8",19,5,13
"P6",21,9,7
"P1",9,13,15
"P4",14,8,15
"N2",7,20,10
"N3",4,24,9
"N4",9,17,11
"N1",10,9,18
"M2",4,3,30
"M3",7,10,20
"M4",5,3,29
