"",0.435744827557323,0.435744827557323,0.435744827557323,0.435744827557323
"Pelagic",249,95,108,0.449115044247788
"NWHI",97,225,130,0.502212389380531
"MHI",81,78,293,0.351769911504425
"",0.443490780504865,0.443490780504865,0.443490780504865,0.443490780504865
"Pelagic",217,108,127,0.519911504424779
"NWHI",84,235,133,0.480088495575221
"MHI",90,87,275,0.391592920353982
"",0.467892772698661,0.467892772698661,0.467892772698661,0.467892772698661
"Pelagic",240,101,111,0.469026548672566
"NWHI",85,239,128,0.471238938053097
"MHI",111,90,251,0.444690265486726
"",0.460820669543105,0.460820669543105,0.460820669543105,0.460820669543105
"Pelagic",232,94,126,0.486725663716814
"NWHI",93,228,131,0.495575221238938
"MHI",94,91,267,0.40929203539823
"",0.470151981351607,0.470151981351607,0.470151981351607,0.470151981351607
"Pelagic",190,115,147,0.579646017699115
"NWHI",96,211,145,0.533185840707965
"MHI",84,103,265,0.413716814159292
"",0.50776196027655,0.50776196027655,0.50776196027655,0.50776196027655
"Pelagic",237,97,118,0.475663716814159
"NWHI",91,241,120,0.466814159292035
"MHI",99,78,275,0.391592920353982
"",0.453552573624599,0.453552573624599,0.453552573624599,0.453552573624599
"Pelagic",209,122,121,0.537610619469027
"NWHI",101,223,128,0.506637168141593
"MHI",88,71,293,0.351769911504425
"",0.464344141154515,0.464344141154515,0.464344141154515,0.464344141154515
"Pelagic",217,115,120,0.519911504424779
"NWHI",96,230,126,0.491150442477876
"MHI",96,79,277,0.38716814159292
"",0.466939808525733,0.466939808525733,0.466939808525733,0.466939808525733
"Pelagic",223,117,112,0.506637168141593
"NWHI",97,217,138,0.519911504424779
"MHI",74,88,290,0.358407079646018
"",0.462406535080926,0.462406535080926,0.462406535080926,0.462406535080926
"Pelagic",224,112,116,0.504424778761062
"NWHI",106,195,151,0.56858407079646
"MHI",68,84,300,0.336283185840708
"",0.471605514014378,0.471605514014378,0.471605514014378,0.471605514014378
"Pelagic",227,115,110,0.497787610619469
"NWHI",102,221,129,0.511061946902655
"MHI",77,81,294,0.349557522123894
"",0.466762296691196,0.466762296691196,0.466762296691196,0.466762296691196
"Pelagic",198,117,137,0.561946902654867
"NWHI",91,230,131,0.491150442477876
"MHI",91,96,265,0.413716814159292
"",0.488655542808876,0.488655542808876,0.488655542808876,0.488655542808876
"Pelagic",231,103,118,0.488938053097345
"NWHI",102,219,131,0.515486725663717
"MHI",75,82,295,0.347345132743363
"",0.455697956716394,0.455697956716394,0.455697956716394,0.455697956716394
"Pelagic",219,111,122,0.515486725663717
"NWHI",93,238,121,0.473451327433628
"MHI",108,88,256,0.433628318584071
"",0.473589629238938,0.473589629238938,0.473589629238938,0.473589629238938
"Pelagic",239,111,102,0.471238938053097
"NWHI",108,208,136,0.539823008849557
"MHI",79,81,292,0.353982300884956
"",0.462693998811791,0.462693998811791,0.462693998811791,0.462693998811791
"Pelagic",248,98,106,0.451327433628319
"NWHI",92,237,123,0.475663716814159
"MHI",99,83,270,0.402654867256637
"",0.449915110567741,0.449915110567741,0.449915110567741,0.449915110567741
"Pelagic",240,93,119,0.469026548672566
"NWHI",90,235,127,0.480088495575221
"MHI",80,88,284,0.371681415929204
"",0.449963353376213,0.449963353376213,0.449963353376213,0.449963353376213
"Pelagic",248,97,107,0.451327433628319
"NWHI",104,215,133,0.524336283185841
"MHI",87,78,287,0.365044247787611
"",0.453181101060241,0.453181101060241,0.453181101060241,0.453181101060241
"Pelagic",214,110,128,0.526548672566372
"NWHI",114,207,131,0.542035398230089
"MHI",86,75,291,0.356194690265487
"",0.48174985734462,0.48174985734462,0.48174985734462,0.48174985734462
"Pelagic",231,106,115,0.488938053097345
"NWHI",108,206,138,0.54424778761062
"MHI",92,77,283,0.373893805309734
